LARGE DATASET AUDIT DUMP | ACCOUNT: 50200012345678 | BILL NO: INV-2026-0098 
TRANSACTION ENTRY #1329 | REF: TXN-00017277 | AMOUNT: Rs. 132900.00 | STATUS: CLEARED
TRANSACTION ENTRY #1330 | REF: TXN-00017290 | AMOUNT: Rs. 133000.00 | STATUS: CLEARED
TRANSACTION ENTRY #1331 | REF: TXN-00017303 | AMOUNT: Rs. 133100.00 | STATUS: CLEARED
TRANSACTION ENTRY #1332 | REF: TXN-00017316 | AMOUNT: Rs. 133200.00 | STATUS: CLEARED
TRANSACTION ENTRY #1333 | REF: TXN-00017329 | AMOUNT: Rs. 133300.00 | STATUS: CLEARED
TRANSACTION ENTRY #1334 | REF: TXN-00017342 | AMOUNT: Rs. 133400.00 | STATUS: CLEARED
TRANSACTION ENTRY #1335 | REF: TXN-00017355 | AMOUNT: Rs. 133500.00 | STATUS: CLEARED
TRANSACTION ENTRY #1336 | REF: TXN-00017368 | AMOUNT: Rs. 133600.00 | STATUS: CLEARED
TRANSACTION ENTRY #1337 | REF: TXN-00017381 | AMOUNT: Rs. 133700.00 | STATUS: CLEARED
TRANSACTION ENTRY #1338 | REF: TXN-00017394 | AMOUNT: Rs. 133800.00 | STATUS: CLEARED
TRANSACTION ENTRY #1339 | REF: TXN-00017407 | AMOUNT: Rs. 133900.00 | STATUS: CLEARED
TRANSACTION ENTRY #1340 | REF: TXN-00017420 | AMOUNT: Rs. 134000.00 | STATUS: CLEARED
TRANSACTION ENTRY #1341 | REF: TXN-00017433 | AMOUNT: Rs. 134100.00 | STATUS: CLEARED
TRANSACTION ENTRY #1342 | REF: TXN-00017446 | AMOUNT: Rs. 134200.00 | STATUS: CLEARED
TRANSACTION ENTRY #1343 | REF: TXN-00017459 | AMOUNT: Rs. 134300.00 | STATUS: CLEARED
TRANSACTION ENTRY #1344 | REF: TXN-00017472 | AMOUNT: Rs. 134400.00 | STATUS: CLEARED
TRANSACTION ENTRY #1345 | REF: TXN-00017485 | AMOUNT: Rs. 134500.00 | STATUS: CLEARED
TRANSACTION ENTRY #1346 | REF: TXN-00017498 | AMOUNT: Rs. 134600.00 | STATUS: CLEARED
TRANSACTION ENTRY #1347 | REF: TXN-00017511 | AMOUNT: Rs. 134700.00 | STATUS: CLEARED
TRANSACTION ENTRY #1348 | REF: TXN-00017524 | AMOUNT: Rs. 134800.00 | STATUS: CLEARED
TRANSACTION ENTRY #1349 | REF: TXN-00017537 | AMOUNT: Rs. 134900.00 | STATUS: CLEARED
TRANSACTION ENTRY #1350 | REF: TXN-00017550 | AMOUNT: Rs. 135000.00 | STATUS: CLEARED
TRANSACTION ENTRY #1351 | REF: TXN-00017563 | AMOUNT: Rs. 135100.00 | STATUS: CLEARED
TRANSACTION ENTRY #1352 | REF: TXN-00017576 | AMOUNT: Rs. 135200.00 | STATUS: CLEARED
TRANSACTION ENTRY #1353 | REF: TXN-00017589 | AMOUNT: Rs. 135300.00 | STATUS: CLEARED
TRANSACTION ENTRY #1354 | REF: TXN-00017602 | AMOUNT: Rs. 135400.00 | STATUS: CLEARED
TRANSACTION ENTRY #1355 | REF: TXN-00017615 | AMOUNT: Rs. 135500.00 | STATUS: CLEARED
TRANSACTION ENTRY #1356 | REF: TXN-00017628 | AMOUNT: Rs. 135600.00 | STATUS: CLEARED
TRANSACTION ENTRY #1357 | REF: TXN-00017641 | AMOUNT: Rs. 135700.00 | STATUS: CLEARED
TRANSACTION ENTRY #1358 | REF: TXN-00017654 | AMOUNT: Rs. 135800.00 | STATUS: CLEARED
TRANSACTION ENTRY #1359 | REF: TXN-00017667 | AMOUNT: Rs. 135900.00 | STATUS: CLEARED
TRANSACTION ENTRY #1360 | REF: TXN-00017680 | AMOUNT: Rs. 136000.00 | STATUS: CLEARED
TRANSACTION ENTRY #1361 | REF: TXN-00017693 | AMOUNT: Rs. 136100.00 | STATUS: CLEARED
TRANSACTION ENTRY #1362 | REF: TXN-00017706 | AMOUNT: Rs. 136200.00 | STATUS: CLEARED
TRANSACTION ENTRY #1363 | REF: TXN-00017719 | AMOUNT: Rs. 136300.00 | STATUS: CLEARED
TRANSACTION ENTRY #1364 | REF: TXN-00017732 | AMOUNT: Rs. 136400.00 | STATUS: CLEARED
TRANSACTION ENTRY #1365 | REF: TXN-00017745 | AMOUNT: Rs. 136500.00 | STATUS: CLEARED
TRANSACTION ENTRY #1366 | REF: TXN-00017758 | AMOUNT: Rs. 136600.00 | STATUS: CLEARED
TRANSACTION ENTRY #1367 | REF: TXN-00017771 | AMOUNT: Rs. 136700.00 | STATUS: CLEARED
TRANSACTION ENTRY #1368 | REF: TXN-00017784 | AMOUNT: Rs. 136800.00 | STATUS: CLEARED
TRANSACTION ENTRY #1369 | REF: TXN-00017797 | AMOUNT: Rs. 136900.00 | STATUS: CLEARED
TRANSACTION ENTRY #1370 | REF: TXN-00017810 | AMOUNT: Rs. 137000.00 | STATUS: CLEARED
TRANSACTION ENTRY #1371 | REF: TXN-00017823 | AMOUNT: Rs. 137100.00 | STATUS: CLEARED
TRANSACTION ENTRY #1372 | REF: TXN-00017836 | AMOUNT: Rs. 137200.00 | STATUS: CLEARED
TRANSACTION ENTRY #1373 | REF: TXN-00017849 | AMOUNT: Rs. 137300.00 | STATUS: CLEARED
TRANSACTION ENTRY #1374 | REF: TXN-00017862 | AMOUNT: Rs. 137400.00 | STATUS: CLEARED
TRANSACTION ENTRY #1375 | REF: TXN-00017875 | AMOUNT: Rs. 137500.00 | STATUS: CLEARED
TRANSACTION ENTRY #1376 | REF: TXN-00017888 | AMOUNT: Rs. 137600.00 | STATUS: CLEARED
TRANSACTION ENTRY #1377 | REF: TXN-00017901 | AMOUNT: Rs. 137700.00 | STATUS: CLEARED
TRANSACTION ENTRY #1378 | REF: TXN-00017914 | AMOUNT: Rs. 137800.00 | STATUS: CLEARED
TRANSACTION ENTRY #1379 | REF: TXN-00017927 | AMOUNT: Rs. 137900.00 | STATUS: CLEARED
TRANSACTION ENTRY #1380 | REF: TXN-00017940 | AMOUNT: Rs. 138000.00 | STATUS: CLEARED
TRANSACTION ENTRY #1381 | REF: TXN-00017953 | AMOUNT: Rs. 138100.00 | STATUS: CLEARED
TRANSACTION ENTRY #1382 | REF: TXN-00017966 | AMOUNT: Rs. 138200.00 | STATUS: CLEARED
TRANSACTION ENTRY #1383 | REF: TXN-00017979 | AMOUNT: Rs. 138300.00 | STATUS: CLEARED
TRANSACTION ENTRY #1384 | REF: TXN-00017992 | AMOUNT: Rs. 138400.00 | STATUS: CLEARED
TRANSACTION ENTRY #1385 | REF: TXN-00018005 | AMOUNT: Rs. 138500.00 | STATUS: CLEARED
TRANSACTION ENTRY #1386 | REF: TXN-00018018 | AMOUNT: Rs. 138600.00 | STATUS: CLEARED
TRANSACTION ENTRY #1387 | REF: TXN-00018031 | AMOUNT: Rs. 138700.00 | STATUS: CLEARED
TRANSACTION ENTRY #1388 | REF: TXN-00018044 | AMOUNT: Rs. 138800.00 | STATUS: CLEARED
TRANSACTION ENTRY #1389 | REF: TXN-00018057 | AMOUNT: Rs. 138900.00 | STATUS: CLEARED
TRANSACTION ENTRY #1390 | REF: TXN-00018070 | AMOUNT: Rs. 139000.00 | STATUS: CLEARED
TRANSACTION ENTRY #1391 | REF: TXN-00018083 | AMOUNT: Rs. 139100.00 | STATUS: CLEARED
TRANSACTION ENTRY #1392 | REF: TXN-00018096 | AMOUNT: Rs. 139200.00 | STATUS: CLEARED
TRANSACTION ENTRY #1393 | REF: TXN-00018109 | AMOUNT: Rs. 139300.00 | STATUS: CLEARED
TRANSACTION ENTRY #1394 | REF: TXN-00018122 | AMOUNT: Rs. 139400.00 | STATUS: CLEARED
TRANSACTION ENTRY #1395 | REF: TXN-00018135 | AMOUNT: Rs. 139500.00 | STATUS: CLEARED
TRANSACTION ENTRY #1396 | REF: TXN-00018148 | AMOUNT: Rs. 139600.00 | STATUS: CLEARED
TRANSACTION ENTRY #1397 | REF: TXN-00018161 | AMOUNT: Rs. 139700.00 | STATUS: CLEARED
TRANSACTION ENTRY #1398 | REF: TXN-00018174 | AMOUNT: Rs. 139800.00 | STATUS: CLEARED
TRANSACTION ENTRY #1399 | REF: TXN-00018187 | AMOUNT: Rs. 139900.00 | STATUS: CLEARED
TRANSACTION ENTRY #1400 | REF: TXN-00018200 | AMOUNT: Rs. 140000.00 | STATUS: CLEARED
TRANSACTION ENTRY #1401 | REF: TXN-00018213 | AMOUNT: Rs. 140100.00 | STATUS: CLEARED
TRANSACTION ENTRY #1402 | REF: TXN-00018226 | AMOUNT: Rs. 140200.00 | STATUS: CLEARED
TRANSACTION ENTRY #1403 | REF: TXN-00018239 | AMOUNT: Rs. 140300.00 | STATUS: CLEARED
TRANSACTION ENTRY #1404 | REF: TXN-00018252 | AMOUNT: Rs. 140400.00 | STATUS: CLEARED
TRANSACTION ENTRY #1405 | REF: TXN-00018265 | AMOUNT: Rs. 140500.00 | STATUS: CLEARED
TRANSACTION ENTRY #1406 | REF: TXN-00018278 | AMOUNT: Rs. 140600.00 | STATUS: CLEARED
TRANSACTION ENTRY #1407 | REF: TXN-00018291 | AMOUNT: Rs. 140700.00 | STATUS: CLEARED
TRANSACTION ENTRY #1408 | REF: TXN-00018304 | AMOUNT: Rs. 140800.00 | STATUS: CLEARED
TRANSACTION ENTRY #1409 | REF: TXN-00018317 | AMOUNT: Rs. 140900.00 | STATUS: CLEARED
TRANSACTION ENTRY #1410 | REF: TXN-00018330 | AMOUNT: Rs. 141000.00 | STATUS: CLEARED
TRANSACTION ENTRY #1411 | REF: TXN-00018343 | AMOUNT: Rs. 141100.00 | STATUS: CLEARED
TRANSACTION ENTRY #1412 | REF: TXN-00018356 | AMOUNT: Rs. 141200.00 | STATUS: CLEARED
TRANSACTION ENTRY #1413 | REF: TXN-00018369 | AMOUNT: Rs. 141300.00 | STATUS: CLEARED
TRANSACTION ENTRY #1414 | REF: TXN-00018382 | AMOUNT: Rs. 141400.00 | STATUS: CLEARED
TRANSACTION ENTRY #1415 | REF: TXN-00018395 | AMOUNT: Rs. 141500.00 | STATUS: CLEARED
TRANSACTION ENTRY #1416 | REF: TXN-00018408 | AMOUNT: Rs. 141600.00 | STATUS: CLEARED
TRANSACTION ENTRY #1417 | REF: TXN-00018421 | AMOUNT: Rs. 141700.00 | STATUS: CLEARED
TRANSACTION ENTRY #1418 | REF: TXN-00018434 | AMOUNT: Rs. 141800.00 | STATUS: CLEARED
TRANSACTION ENTRY #1419 | REF: TXN-00018447 | AMOUNT: Rs. 141900.00 | STATUS: CLEARED
TRANSACTION ENTRY #1420 | REF: TXN-00018460 | AMOUNT: Rs. 142000.00 | STATUS: CLEARED
TRANSACTION ENTRY #1421 | REF: TXN-00018473 | AMOUNT: Rs. 142100.00 | STATUS: CLEARED
TRANSACTION ENTRY #1422 | REF: TXN-00018486 | AMOUNT: Rs. 142200.00 | STATUS: CLEARED
TRANSACTION ENTRY #1423 | REF: TXN-00018499 | AMOUNT: Rs. 142300.00 | STATUS: CLEARED
TRANSACTION ENTRY #1424 | REF: TXN-00018512 | AMOUNT: Rs. 142400.00 | STATUS: CLEARED
TRANSACTION ENTRY #1425 | REF: TXN-00018525 | AMOUNT: Rs. 142500.00 | STATUS: CLEARED
TRANSACTION ENTRY #1426 | REF: TXN-00018538 | AMOUNT: Rs. 142600.00 | STATUS: CLEARED
TRANSACTION ENTRY #1427 | REF: TXN-00018551 | AMOUNT: Rs. 142700.00 | STATUS: CLEARED
TRANSACTION ENTRY #1428 | REF: TXN-00018564 | AMOUNT: Rs. 142800.00 | STATUS: CLEARED
TRANSACTION ENTRY #1429 | REF: TXN-00018577 | AMOUNT: Rs. 142900.00 | STATUS: CLEARED
TRANSACTION ENTRY #1430 | REF: TXN-00018590 | AMOUNT: Rs. 143000.00 | STATUS: CLEARED
TRANSACTION ENTRY #1431 | REF: TXN-00018603 | AMOUNT: Rs. 143100.00 | STATUS: CLEARED
TRANSACTION ENTRY #1432 | REF: TXN-00018616 | AMOUNT: Rs. 143200.00 | STATUS: CLEARED
TRANSACTION ENTRY #1433 | REF: TXN-00018629 | AMOUNT: Rs. 143300.00 | STATUS: CLEARED
TRANSACTION ENTRY #1434 | REF: TXN-00018642 | AMOUNT: Rs. 143400.00 | STATUS: CLEARED
TRANSACTION ENTRY #1435 | REF: TXN-00018655 | AMOUNT: Rs. 143500.00 | STATUS: CLEARED
TRANSACTION ENTRY #1436 | REF: TXN-00018668 | AMOUNT: Rs. 143600.00 | STATUS: CLEARED
TRANSACTION ENTRY #1437 | REF: TXN-00018681 | AMOUNT: Rs. 143700.00 | STATUS: CLEARED
TRANSACTION ENTRY #1438 | REF: TXN-00018694 | AMOUNT: Rs. 143800.00 | STATUS: CLEARED
TRANSACTION ENTRY #1439 | REF: TXN-00018707 | AMOUNT: Rs. 143900.00 | STATUS: CLEARED
TRANSACTION ENTRY #1440 | REF: TXN-00018720 | AMOUNT: Rs. 144000.00 | STATUS: CLEARED
TRANSACTION ENTRY #1441 | REF: TXN-00018733 | AMOUNT: Rs. 144100.00 | STATUS: CLEARED
TRANSACTION ENTRY #1442 | REF: TXN-00018746 | AMOUNT: Rs. 144200.00 | STATUS: CLEARED
TRANSACTION ENTRY #1443 | REF: TXN-00018759 | AMOUNT: Rs. 144300.00 | STATUS: CLEARED
TRANSACTION ENTRY #1444 | REF: TXN-00018772 | AMOUNT: Rs. 144400.00 | STATUS: CLEARED
TRANSACTION ENTRY #1445 | REF: TXN-00018785 | AMOUNT: Rs. 144500.00 | STATUS: CLEARED
TRANSACTION ENTRY #1446 | REF: TXN-00018798 | AMOUNT: Rs. 144600.00 | STATUS: CLEARED
TRANSACTION ENTRY #1447 | REF: TXN-00018811 | AMOUNT: Rs. 144700.00 | STATUS: CLEARED
TRANSACTION ENTRY #1448 | REF: TXN-00018824 | AMOUNT: Rs. 144800.00 | STATUS: CLEARED
TRANSACTION ENTRY #1449 | REF: TXN-00018837 | AMOUNT: Rs. 144900.00 | STATUS: CLEARED
TRANSACTION ENTRY #1450 | REF: TXN-00018850 | AMOUNT: Rs. 145000.00 | STATUS: CLEARED
TRANSACTION ENTRY #1451 | REF: TXN-00018863 | AMOUNT: Rs. 145100.00 | STATUS: CLEARED
TRANSACTION ENTRY #1452 | REF: TXN-00018876 | AMOUNT: Rs. 145200.00 | STATUS: CLEARED
TRANSACTION ENTRY #1453 | REF: TXN-00018889 | AMOUNT: Rs. 145300.00 | STATUS: CLEARED
TRANSACTION ENTRY #1454 | REF: TXN-00018902 | AMOUNT: Rs. 145400.00 | STATUS: CLEARED
TRANSACTION ENTRY #1455 | REF: TXN-00018915 | AMOUNT: Rs. 145500.00 | STATUS: CLEARED
TRANSACTION ENTRY #1456 | REF: TXN-00018928 | AMOUNT: Rs. 145600.00 | STATUS: CLEARED
TRANSACTION ENTRY #1457 | REF: TXN-00018941 | AMOUNT: Rs. 145700.00 | STATUS: CLEARED
TRANSACTION ENTRY #1458 | REF: TXN-00018954 | AMOUNT: Rs. 145800.00 | STATUS: CLEARED
TRANSACTION ENTRY #1459 | REF: TXN-00018967 | AMOUNT: Rs. 145900.00 | STATUS: CLEARED
TRANSACTION ENTRY #1460 | REF: TXN-00018980 | AMOUNT: Rs. 146000.00 | STATUS: CLEARED
TRANSACTION ENTRY #1461 | REF: TXN-00018993 | AMOUNT: Rs. 146100.00 | STATUS: CLEARED
TRANSACTION ENTRY #1462 | REF: TXN-00019006 | AMOUNT: Rs. 146200.00 | STATUS: CLEARED
TRANSACTION ENTRY #1463 | REF: TXN-00019019 | AMOUNT: Rs. 146300.00 | STATUS: CLEARED
TRANSACTION ENTRY #1464 | REF: TXN-00019032 | AMOUNT: Rs. 146400.00 | STATUS: CLEARED
TRANSACTION ENTRY #1465 | REF: TXN-00019045 | AMOUNT: Rs. 146500.00 | STATUS: CLEARED
TRANSACTION ENTRY #1466 | REF: TXN-00019058 | AMOUNT: Rs. 146600.00 | STATUS: CLEARED
TRANSACTION ENTRY #1467 | REF: TXN-00019071 | AMOUNT: Rs. 146700.00 | STATUS: CLEARED
TRANSACTION ENTRY #1468 | REF: TXN-00019084 | AMOUNT: Rs. 146800.00 | STATUS: CLEARED
TRANSACTION ENTRY #1469 | REF: TXN-00019097 | AMOUNT: Rs. 146900.00 | STATUS: CLEARED
TRANSACTION ENTRY #1470 | REF: TXN-00019110 | AMOUNT: Rs. 147000.00 | STATUS: CLEARED
TRANSACTION ENTRY #1471 | REF: TXN-00019123 | AMOUNT: Rs. 147100.00 | STATUS: CLEARED
TRANSACTION ENTRY #1472 | REF: TXN-00019136 | AMOUNT: Rs. 147200.00 | STATUS: CLEARED
TRANSACTION ENTRY #1473 | REF: TXN-00019149 | AMOUNT: Rs. 147300.00 | STATUS: CLEARED
TRANSACTION ENTRY #1474 | REF: TXN-00019162 | AMOUNT: Rs. 147400.00 | STATUS: CLEARED
TRANSACTION ENTRY #1475 | REF: TXN-00019175 | AMOUNT: Rs. 147500.00 | STATUS: CLEARED
TRANSACTION ENTRY #1476 | REF: TXN-00019188 | AMOUNT: Rs. 147600.00 | STATUS: CLEARED
TRANSACTION ENTRY #1477 | REF: TXN-00019201 | AMOUNT: Rs. 147700.00 | STATUS: CLEARED
TRANSACTION ENTRY #1478 | REF: TXN-00019214 | AMOUNT: Rs. 147800.00 | STATUS: CLEARED
TRANSACTION ENTRY #1479 | REF: TXN-00019227 | AMOUNT: Rs. 147900.00 | STATUS: CLEARED
TRANSACTION ENTRY #1480 | REF: TXN-00019240 | AMOUNT: Rs. 148000.00 | STATUS: CLEARED
TRANSACTION ENTRY #1481 | REF: TXN-00019253 | AMOUNT: Rs. 148100.00 | STATUS: CLEARED
TRANSACTION ENTRY #1482 | REF: TXN-00019266 | AMOUNT: Rs. 148200.00 | STATUS: CLEARED
TRANSACTION ENTRY #1483 | REF: TXN-00019279 | AMOUNT: Rs. 148300.00 | STATUS: CLEARED
TRANSACTION ENTRY #1484 | REF: TXN-00019292 | AMOUNT: Rs. 148400.00 | STATUS: CLEARED
TRANSACTION ENTRY #1485 | REF: TXN-00019305 | AMOUNT: Rs. 148500.00 | STATUS: CLEARED
TRANSACTION ENTRY #1486 | REF: TXN-00019318 | AMOUNT: Rs. 148600.00 | STATUS: CLEARED
TRANSACTION ENTRY #1487 | REF: TXN-00019331 | AMOUNT: Rs. 148700.00 | STATUS: CLEARED
TRANSACTION ENTRY #1488 | REF: TXN-00019344 | AMOUNT: Rs. 148800.00 | STATUS: CLEARED
TRANSACTION ENTRY #1489 | REF: TXN-00019357 | AMOUNT: Rs. 148900.00 | STATUS: CLEARED
TRANSACTION ENTRY #1490 | REF: TXN-00019370 | AMOUNT: Rs. 149000.00 | STATUS: CLEARED
TRANSACTION ENTRY #1491 | REF: TXN-00019383 | AMOUNT: Rs. 149100.00 | STATUS: CLEARED
TRANSACTION ENTRY #1492 | REF: TXN-00019396 | AMOUNT: Rs. 149200.00 | STATUS: CLEARED
TRANSACTION ENTRY #1493 | REF: TXN-00019409 | AMOUNT: Rs. 149300.00 | STATUS: CLEARED
TRANSACTION ENTRY #1494 | REF: TXN-00019422 | AMOUNT: Rs. 149400.00 | STATUS: CLEARED
TRANSACTION ENTRY #1495 | REF: TXN-00019435 | AMOUNT: Rs. 149500.00 | STATUS: CLEARED
TRANSACTION ENTRY #1496 | REF: TXN-00019448 | AMOUNT: Rs. 149600.00 | STATUS: CLEARED
TRANSACTION ENTRY #1497 | REF: TXN-00019461 | AMOUNT: Rs. 149700.00 | STATUS: CLEARED
TRANSACTION ENTRY #1498 | REF: TXN-00019474 | AMOUNT: Rs. 149800.00 | STATUS: CLEARED
TRANSACTION ENTRY #1499 | REF: TXN-00019487 | AMOUNT: Rs. 149900.00 | STATUS: CLEARED
TRANSACTION ENTRY #1500 | REF: TXN-00019500 | AMOUNT: Rs. 150000.00 | STATUS: CLEARED
TRANSACTION ENTRY #1501 | REF: TXN-00019513 | AMOUNT: Rs. 150100.00 | STATUS: CLEARED
TRANSACTION ENTRY #1502 | REF: TXN-00019526 | AMOUNT: Rs. 150200.00 | STATUS: CLEARED
TRANSACTION ENTRY #1503 | REF: TXN-00019539 | AMOUNT: Rs. 150300.00 | STATUS: CLEARED
TRANSACTION ENTRY #1504 | REF: TXN-00019552 | AMOUNT: Rs. 150400.00 | STATUS: CLEARED
TRANSACTION ENTRY #1505 | REF: TXN-00019565 | AMOUNT: Rs. 150500.00 | STATUS: CLEARED
TRANSACTION ENTRY #1506 | REF: TXN-00019578 | AMOUNT: Rs. 150600.00 | STATUS: CLEARED
TRANSACTION ENTRY #1507 | REF: TXN-00019591 | AMOUNT: Rs. 150700.00 | STATUS: CLEARED
TRANSACTION ENTRY #1508 | REF: TXN-00019604 | AMOUNT: Rs. 150800.00 | STATUS: CLEARED
TRANSACTION ENTRY #1509 | REF: TXN-00019617 | AMOUNT: Rs. 150900.00 | STATUS: CLEARED
TRANSACTION ENTRY #1510 | REF: TXN-00019630 | AMOUNT: Rs. 151000.00 | STATUS: CLEARED
TRANSACTION ENTRY #1511 | REF: TXN-00019643 | AMOUNT: Rs. 151100.00 | STATUS: CLEARED
TRANSACTION ENTRY #1512 | REF: TXN-00019656 | AMOUNT: Rs. 151200.00 | STATUS: CLEARED
TRANSACTION ENTRY #1513 | REF: TXN-00019669 | AMOUNT: Rs. 151300.00 | STATUS: CLEARED
TRANSACTION ENTRY #1514 | REF: TXN-00019682 | AMOUNT: Rs. 151400.00 | STATUS: CLEARED
TRANSACTION ENTRY #1515 | REF: TXN-00019695 | AMOUNT: Rs. 151500.00 | STATUS: CLEARED
TRANSACTION ENTRY #1516 | REF: TXN-00019708 | AMOUNT: Rs. 151600.00 | STATUS: CLEARED
TRANSACTION ENTRY #1517 | REF: TXN-00019721 | AMOUNT: Rs. 151700.00 | STATUS: CLEARED
TRANSACTION ENTRY #1518 | REF: TXN-00019734 | AMOUNT: Rs. 151800.00 | STATUS: CLEARED
TRANSACTION ENTRY #1519 | REF: TXN-00019747 | AMOUNT: Rs. 151900.00 | STATUS: CLEARED
TRANSACTION ENTRY #1520 | REF: TXN-00019760 | AMOUNT: Rs. 152000.00 | STATUS: CLEARED
TRANSACTION ENTRY #1521 | REF: TXN-00019773 | AMOUNT: Rs. 152100.00 | STATUS: CLEARED
TRANSACTION ENTRY #1522 | REF: TXN-00019786 | AMOUNT: Rs. 152200.00 | STATUS: CLEARED
TRANSACTION ENTRY #1523 | REF: TXN-00019799 | AMOUNT: Rs. 152300.00 | STATUS: CLEARED
TRANSACTION ENTRY #1524 | REF: TXN-00019812 | AMOUNT: Rs. 152400.00 | STATUS: CLEARED
TRANSACTION ENTRY #1525 | REF: TXN-00019825 | AMOUNT: Rs. 152500.00 | STATUS: CLEARED
TRANSACTION ENTRY #1526 | REF: TXN-00019838 | AMOUNT: Rs. 152600.00 | STATUS: CLEARED
TRANSACTION ENTRY #1527 | REF: TXN-00019851 | AMOUNT: Rs. 152700.00 | STATUS: CLEARED
TRANSACTION ENTRY #1528 | REF: TXN-00019864 | AMOUNT: Rs. 152800.00 | STATUS: CLEARED
TRANSACTION ENTRY #1529 | REF: TXN-00019877 | AMOUNT: Rs. 152900.00 | STATUS: CLEARED
TRANSACTION ENTRY #1530 | REF: TXN-00019890 | AMOUNT: Rs. 153000.00 | STATUS: CLEARED
TRANSACTION ENTRY #1531 | REF: TXN-00019903 | AMOUNT: Rs. 153100.00 | STATUS: CLEARED
TRANSACTION ENTRY #1532 | REF: TXN-00019916 | AMOUNT: Rs. 153200.00 | STATUS: CLEARED
TRANSACTION ENTRY #1533 | REF: TXN-00019929 | AMOUNT: Rs. 153300.00 | STATUS: CLEARED
TRANSACTION ENTRY #1534 | REF: TXN-00019942 | AMOUNT: Rs. 153400.00 | STATUS: CLEARED
TRANSACTION ENTRY #1535 | REF: TXN-00019955 | AMOUNT: Rs. 153500.00 | STATUS: CLEARED
TRANSACTION ENTRY #1536 | REF: TXN-00019968 | AMOUNT: Rs. 153600.00 | STATUS: CLEARED
TRANSACTION ENTRY #1537 | REF: TXN-00019981 | AMOUNT: Rs. 153700.00 | STATUS: CLEARED
TRANSACTION ENTRY #1538 | REF: TXN-00019994 | AMOUNT: Rs. 153800.00 | STATUS: CLEARED
TRANSACTION ENTRY #1539 | REF: TXN-00020007 | AMOUNT: Rs. 153900.00 | STATUS: CLEARED
TRANSACTION ENTRY #1540 | REF: TXN-00020020 | AMOUNT: Rs. 154000.00 | STATUS: CLEARED
TRANSACTION ENTRY #1541 | REF: TXN-00020033 | AMOUNT: Rs. 154100.00 | STATUS: CLEARED
TRANSACTION ENTRY #1542 | REF: TXN-00020046 | AMOUNT: Rs. 154200.00 | STATUS: CLEARED
TRANSACTION ENTRY #1543 | REF: TXN-00020059 | AMOUNT: Rs. 154300.00 | STATUS: CLEARED
TRANSACTION ENTRY #1544 | REF: TXN-00020072 | AMOUNT: Rs. 154400.00 | STATUS: CLEARED
TRANSACTION ENTRY #1545 | REF: TXN-00020085 | AMOUNT: Rs. 154500.00 | STATUS: CLEARED
TRANSACTION ENTRY #1546 | REF: TXN-00020098 | AMOUNT: Rs. 154600.00 | STATUS: CLEARED
TRANSACTION ENTRY #1547 | REF: TXN-00020111 | AMOUNT: Rs. 154700.00 | STATUS: CLEARED
TRANSACTION ENTRY #1548 | REF: TXN-00020124 | AMOUNT: Rs. 154800.00 | STATUS: CLEARED
TRANSACTION ENTRY #1549 | REF: TXN-00020137 | AMOUNT: Rs. 154900.00 | STATUS: CLEARED
TRANSACTION ENTRY #1550 | REF: TXN-00020150 | AMOUNT: Rs. 155000.00 | STATUS: CLEARED
TRANSACTION ENTRY #1551 | REF: TXN-00020163 | AMOUNT: Rs. 155100.00 | STATUS: CLEARED
TRANSACTION ENTRY #1552 | REF: TXN-00020176 | AMOUNT: Rs. 155200.00 | STATUS: CLEARED
TRANSACTION ENTRY #1553 | REF: TXN-00020189 | AMOUNT: Rs. 155300.00 | STATUS: CLEARED
TRANSACTION ENTRY #1554 | REF: TXN-00020202 | AMOUNT: Rs. 155400.00 | STATUS: CLEARED
TRANSACTION ENTRY #1555 | REF: TXN-00020215 | AMOUNT: Rs. 155500.00 | STATUS: CLEARED
TRANSACTION ENTRY #1556 | REF: TXN-00020228 | AMOUNT: Rs. 155600.00 | STATUS: CLEARED
TRANSACTION ENTRY #1557 | REF: TXN-00020241 | AMOUNT: Rs. 155700.00 | STATUS: CLEARED
TRANSACTION ENTRY #1558 | REF: TXN-00020254 | AMOUNT: Rs. 155800.00 | STATUS: CLEARED
TRANSACTION ENTRY #1559 | REF: TXN-00020267 | AMOUNT: Rs. 155900.00 | STATUS: CLEARED
TRANSACTION ENTRY #1560 | REF: TXN-00020280 | AMOUNT: Rs. 156000.00 | STATUS: CLEARED
TRANSACTION ENTRY #1561 | REF: TXN-00020293 | AMOUNT: Rs. 156100.00 | STATUS: CLEARED
TRANSACTION ENTRY #1562 | REF: TXN-00020306 | AMOUNT: Rs. 156200.00 | STATUS: CLEARED
TRANSACTION ENTRY #1563 | REF: TXN-00020319 | AMOUNT: Rs. 156300.00 | STATUS: CLEARED
TRANSACTION ENTRY #1564 | REF: TXN-00020332 | AMOUNT: Rs. 156400.00 | STATUS: CLEARED
TRANSACTION ENTRY #1565 | REF: TXN-00020345 | AMOUNT: Rs. 156500.00 | STATUS: CLEARED
TRANSACTION ENTRY #1566 | REF: TXN-00020358 | AMOUNT: Rs. 156600.00 | STATUS: CLEARED
TRANSACTION ENTRY #1567 | REF: TXN-00020371 | AMOUNT: Rs. 156700.00 | STATUS: CLEARED
TRANSACTION ENTRY #1568 | REF: TXN-00020384 | AMOUNT: Rs. 156800.00 | STATUS: CLEARED
